sheet,cell,text,url,subaddress
Sheet1,A157,50-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/73?data-title=50-A+transcription&data-verticalTitle=50-A+transcription&data-type=book&data-id=book_transcription_73&data-boxTitle=50-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F73&data-maxWidth=300,
Sheet1,A159,52-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/115?data-title=52-A+transcription&data-verticalTitle=52-A+transcription&data-type=book&data-id=book_transcription_115&data-boxTitle=52-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F115&data-maxWidth=300,
Sheet1,A161,51-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/50?data-title=51-A+transcription&data-verticalTitle=51-A+transcription&data-type=book&data-id=book_transcription_50&data-boxTitle=51-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F50&data-maxWidth=300,
Sheet1,A163,54-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/139?data-title=54-A+transcription&data-verticalTitle=54-A+transcription&data-type=book&data-id=book_transcription_139&data-boxTitle=54-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F139&data-maxWidth=300,
Sheet1,A165,55-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/130?data-title=55-A+transcription&data-verticalTitle=55-A+transcription&data-type=book&data-id=book_transcription_130&data-boxTitle=55-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F130&data-maxWidth=300,
Sheet1,A167,53-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/42?data-title=53-A+transcription&data-verticalTitle=53-A+transcription&data-type=book&data-id=book_transcription_42&data-boxTitle=53-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F42&data-maxWidth=300,
Sheet1,A169,56-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/145?data-title=56-A+transcription&data-verticalTitle=56-A+transcription&data-type=book&data-id=book_transcription_145&data-boxTitle=56-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F145&data-maxWidth=300,
Sheet1,A171,57-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/87?data-title=57-A+transcription&data-verticalTitle=57-A+transcription&data-type=book&data-id=book_transcription_87&data-boxTitle=57-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F87&data-maxWidth=300,
Sheet1,A173,58-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/108?data-title=58-B+transcription&data-verticalTitle=58-B+transcription&data-type=book&data-id=book_transcription_108&data-boxTitle=58-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F108&data-maxWidth=300,
Sheet1,A175,58-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/107?data-title=58-A+transcription&data-verticalTitle=58-A+transcription&data-type=book&data-id=book_transcription_107&data-boxTitle=58-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F107&data-maxWidth=300,
